"Επίπεδο διοικητικής διαίρεσης";"Γεωγραφικός κωδικός";"Περιγραφή";"Σύνολο";"Σύνολο οικονομικών ενεργών";"Σύνολο απασχολούμενων";"Πρωτογενής Τομέας";"Δευτερογενής Τομέας";"Τριτογενής Τομέας";"Ανεργοι";"Οικονομικά μη ενεργοί"
3;211701;"ΔΗΜΟΣ ΦΛΩΡΙΝΑΣ";32881;12767;9960;1429;2075;6456;2807;20114
3;211702;"ΔΗΜΟΣ ΑΜΥΝΤΑΙΟΥ";16973;6248;4853;1280;1349;2224;1395;10725
3;211703;"ΔΗΜΟΣ ΠΡΕΣΠΩΝ";1560;625;541;331;25;185;84;935
3;221801;"ΔΗΜΟΣ ΙΩΑΝΝΙΤΩΝ";112486;47545;39287;1676;7091;30520;8258;64941
3;221802;"ΔΗΜΟΣ ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ";5714;1751;1518;273;346;899;233;3963
3;221803;"ΔΗΜΟΣ ΔΩΔΩΝΗΣ";9693;3005;2490;591;502;1397;515;6688
3;221804;"ΔΗΜΟΣ ΖΑΓΟΡΙΟΥ";3724;1312;1147;357;185;605;165;2412
3;221805;"ΔΗΜΟΣ ΖΙΤΣΑΣ";14766;5845;4704;799;1126;2779;1141;8921
3;221806;"ΔΗΜΟΣ ΚΟΝΙΤΣΑΣ";6362;2031;1684;346;358;980;347;4331
3;221807;"ΔΗΜΟΣ ΜΕΤΣΟΒΟΥ";6196;2107;1686;384;440;862;421;4089
3;221808;"ΔΗΜΟΣ ΠΩΓΩΝΙΟΥ";8960;2766;2138;620;458;1060;628;6194
3;221901;"ΔΗΜΟΣ ΑΡΤΑΙΩΝ";43166;16782;13584;2245;2362;8977;3198;26384
3;221902;"ΔΗΜΟΣ ΓΕΩΡΓΙΟΥ ΚΑΡΑΪΣΚΑΚΗ";5780;1578;1216;498;194;524;362;4202
3;221903;"ΔΗΜΟΣ ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ";6178;1448;1149;339;302;508;299;4730
3;221904;"ΔΗΜΟΣ ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ";12753;4333;3489;1186;564;1739;844;8420
3;222001;"ΔΗΜΟΣ ΗΓΟΥΜΕΝΙΤΣΑΣ";25814;10890;8774;1028;1323;6423;2116;14924
3;222002;"ΔΗΜΟΣ ΣΟΥΛΙΟΥ";10063;3649;2979;894;520;1565;670;6414
3;222003;"ΔΗΜΟΣ ΦΙΛΙΑΤΩΝ";7710;2700;2230;942;293;995;470;5010
